time_str,stock,side,quantity,matched_vol,matched_value,ts,num_lot,block_start_time,no_similarity_stock,segment_ids,lot_bucket,segment_length,initial_ts,arbit_ratio,unwind_ratio,arbit_value,unwind_value
10021619,DGC,1.0,1400.0,200.0,23200000.0,2024-09-25 02:17:14.305,0.1429,2024-09-25 02:16:19.305,14,2,0.05,36,2024-09-25 02:16:19.305,0.1429,0.0,23200000.0,0.0
10021628,SSI,1.0,11900.0,1000.0,26800000.0,2024-09-25 02:17:23.688,0.084,2024-09-25 02:16:28.125,14,2,0.05,36,2024-09-25 02:16:28.688,0.084,0.0,26800000.0,0.0
10021633,STB,1.0,4400.0,1000.0,32050000.0,2024-09-25 02:17:28.476,0.2273,2024-09-25 02:16:33.476,14,2,0.05,36,2024-09-25 02:16:33.476,0.2273,0.0,32050000.0,0.0
10021635,SHB,1.0,8500.0,1000.0,10500000.0,2024-09-25 02:17:30.456,0.1176,2024-09-25 02:16:35.006,16,2,0.05,36,2024-09-25 02:16:35.456,0.1176,0.0,10500000.0,0.0
10021639,MSN,1.0,5000.0,400.0,30160000.0,2024-09-25 02:17:34.577,0.08,2024-09-25 02:16:39.378,15,2,0.05,36,2024-09-25 02:16:39.577,0.08,0.0,30160000.0,0.0
10021642,HPG,1.0,18300.0,1200.0,31440000.0,2024-09-25 02:17:37.533,0.0656,2024-09-25 02:16:42.214,15,2,0.05,36,2024-09-25 02:16:42.533,0.0656,0.0,31440000.0,0.0
10021648,HPG,1.0,18300.0,1000.0,26150000.0,2024-09-25 02:17:43.984,0.0546,2024-09-25 02:16:48.499,15,2,0.05,36,2024-09-25 02:16:48.984,0.0546,0.0,26150000.0,0.0
10021649,VHM,1.0,10100.0,600.0,26640000.0,2024-09-25 02:17:44.643,0.0594,2024-09-25 02:16:49.642,15,2,0.05,36,2024-09-25 02:16:49.643,0.0594,0.0,26640000.0,0.0
10021650,SSI,1.0,11900.0,2700.0,72495000.0,2024-09-25 02:17:45.053,0.2269,2024-09-25 02:16:50.053,14,2,0.05,36,2024-09-25 02:16:50.053,0.2269,0.0,72495000.0,0.0
10021651,VND,1.0,8400.0,500.0,7500000.0,2024-09-25 02:17:46.262,0.0595,2024-09-25 02:16:51.005,14,2,0.05,36,2024-09-25 02:16:51.262,0.0595,0.0,7500000.0,0.0
10021651,HPG,1.0,18300.0,2500.0,65375000.0,2024-09-25 02:17:46.847,0.1366,2024-09-25 02:16:51.005,17,2,0.05,36,2024-09-25 02:16:51.847,0.1366,0.0,65375000.0,0.0
10021652,GEX,1.0,3300.0,500.0,10675000.0,2024-09-25 02:17:47.299,0.1515,2024-09-25 02:16:52.299,16,2,0.05,36,2024-09-25 02:16:52.299,0.1515,0.0,10675000.0,0.0
10021652,SSI,1.0,11900.0,1000.0,26850000.0,2024-09-25 02:17:47.555,0.084,2024-09-25 02:16:52.299,14,2,0.05,36,2024-09-25 02:16:52.555,0.084,0.0,26850000.0,0.0
10021652,STB,1.0,4400.0,500.0,16025000.0,2024-09-25 02:17:47.961,0.1136,2024-09-25 02:16:52.299,15,2,0.05,36,2024-09-25 02:16:52.961,0.1136,0.0,16025000.0,0.0
10021653,VIC,1.0,9500.0,2300.0,98440000.0,2024-09-25 02:17:48.300,0.2421,2024-09-25 02:16:53.296,14,2,0.05,36,2024-09-25 02:16:53.300,0.2421,0.0,98440000.0,0.0
10021654,SSI,1.0,11900.0,1000.0,26850000.0,2024-09-25 02:17:49.890,0.084,2024-09-25 02:16:54.298,16,2,0.05,36,2024-09-25 02:16:54.890,0.084,0.0,26850000.0,0.0
10021657,MSN,1.0,5000.0,1200.0,90480000.0,2024-09-25 02:17:52.200,0.24,2024-09-25 02:16:57.200,14,2,0.05,36,2024-09-25 02:16:57.200,0.24,0.0,90480000.0,0.0
10021658,HPG,1.0,18300.0,1000.0,26150000.0,2024-09-25 02:17:53.506,0.0546,2024-09-25 02:16:58.502,16,2,0.05,36,2024-09-25 02:16:58.506,0.0546,0.0,26150000.0,0.0
10021659,SSI,1.0,11900.0,1500.0,40275000.0,2024-09-25 02:17:54.875,0.1261,2024-09-25 02:16:59.642,18,2,0.05,36,2024-09-25 02:16:59.875,0.1261,0.0,40275000.0,0.0
10021701,VND,1.0,8400.0,1200.0,18000000.0,2024-09-25 02:17:56.959,0.1429,2024-09-25 02:17:01.475,16,2,0.05,36,2024-09-25 02:17:01.959,0.1429,0.0,18000000.0,0.0
10021702,POW,1.0,3600.0,200.0,2540000.0,2024-09-25 02:17:57.752,0.0556,2024-09-25 02:17:02.214,17,2,0.05,36,2024-09-25 02:17:02.752,0.0556,0.0,2540000.0,0.0
10021702,PDR,1.0,3400.0,300.0,6840000.0,2024-09-25 02:17:57.851,0.0882,2024-09-25 02:17:02.214,16,2,0.05,36,2024-09-25 02:17:02.851,0.0882,0.0,6840000.0,0.0
10021704,KDH,1.0,3100.0,200.0,7760000.0,2024-09-25 02:17:59.251,0.0645,2024-09-25 02:17:04.039,17,2,0.05,36,2024-09-25 02:17:04.251,0.0645,0.0,7760000.0,0.0
10021704,KBC,1.0,2900.0,200.0,5630000.0,2024-09-25 02:17:59.875,0.069,2024-09-25 02:17:04.039,17,2,0.05,36,2024-09-25 02:17:04.875,0.069,0.0,5630000.0,0.0
10021705,SHB,1.0,8500.0,1000.0,10500000.0,2024-09-25 02:18:00.157,0.1176,2024-09-25 02:17:05.157,14,2,0.05,36,2024-09-25 02:17:05.157,0.1176,0.0,10500000.0,0.0
10021705,SSI,1.0,11900.0,3000.0,80550000.0,2024-09-25 02:18:00.159,0.2521,2024-09-25 02:17:05.157,17,2,0.05,36,2024-09-25 02:17:05.159,0.2521,0.0,80550000.0,0.0
10021705,GEX,1.0,3300.0,200.0,4270000.0,2024-09-25 02:18:00.309,0.0606,2024-09-25 02:17:05.157,15,2,0.05,36,2024-09-25 02:17:05.309,0.0606,0.0,4270000.0,0.0
