time_str,stock,side,quantity,matched_vol,matched_value,ts,num_lot,block_start_time,no_similarity_stock,segment_ids,lot_bucket,segment_length,initial_ts,arbit_ratio,unwind_ratio,arbit_value,unwind_value
10021522,POW,1.0,3800.0,1000.0,14500000.0,2025-07-28 02:16:17.665,0.2632,2025-07-28 02:15:22.519,16,0,0.05,69,2025-07-28 02:15:22.665,0.2632,0.0,14500000.0,0.0
10021522,VJC,-1.0,1300.0,300.0,37200000.0,2025-07-28 02:16:17.671,0.2308,2025-07-28 02:15:22.519,15,26000001,0.05,24,2025-07-28 02:15:22.671,0.0,0.2308,0.0,37200000.0
10021522,VRE,-1.0,7300.0,500.0,14825000.0,2025-07-28 02:16:17.691,0.0685,2025-07-28 02:15:22.519,14,26000001,0.05,24,2025-07-28 02:15:22.691,0.0,0.0685,0.0,14825000.0
10021522,SHB,1.0,9900.0,9200.0,139840000.0,2025-07-28 02:16:17.734,0.9293,2025-07-28 02:15:22.519,14,2000000,1.0,20,2025-07-28 02:15:22.734,0.9293,0.0,139840000.0,0.0
10021523,VCI,1.0,4400.0,1500.0,66525000.0,2025-07-28 02:16:18.268,0.3409,2025-07-28 02:15:23.006,14,1000000,0.5,50,2025-07-28 02:15:23.268,0.3409,0.0,66525000.0,0.0
10021523,GEX,1.0,3700.0,300.0,17130000.0,2025-07-28 02:16:18.282,0.0811,2025-07-28 02:15:23.006,15,0,0.05,69,2025-07-28 02:15:23.282,0.0811,0.0,17130000.0,0.0
10021523,SSI,1.0,11100.0,4500.0,156825000.0,2025-07-28 02:16:18.453,0.4054,2025-07-28 02:15:23.006,14,1000000,0.5,50,2025-07-28 02:15:23.453,0.4054,0.0,156825000.0,0.0
10021523,MSN,1.0,5700.0,5000.0,381500000.0,2025-07-28 02:16:18.640,0.8772,2025-07-28 02:15:23.006,15,2000000,1.0,20,2025-07-28 02:15:23.640,0.8772,0.0,381500000.0,0.0
10021524,VGC,-1.0,400.0,100.0,5600000.0,2025-07-28 02:16:19.519,0.25,2025-07-28 02:15:24.183,15,26000001,0.05,24,2025-07-28 02:15:24.519,0.0,0.25,0.0,5600000.0
10021524,VNM,1.0,5200.0,500.0,31700000.0,2025-07-28 02:16:19.768,0.0962,2025-07-28 02:15:24.131,14,0,0.05,69,2025-07-28 02:15:24.768,0.0962,0.0,31700000.0,0.0
10021525,POW,1.0,3800.0,1000.0,14500000.0,2025-07-28 02:16:20.260,0.2632,2025-07-28 02:15:25.245,15,0,0.05,69,2025-07-28 02:15:25.260,0.2632,0.0,14500000.0,0.0
10021525,BVH,1.0,800.0,500.0,26180000.0,2025-07-28 02:16:20.807,0.625,2025-07-28 02:15:25.245,18,1000000,0.5,50,2025-07-28 02:15:25.807,0.625,0.0,26180000.0,0.0
10021526,PDR,1.0,3500.0,4000.0,84400000.0,2025-07-28 02:16:21.031,1.1429,2025-07-28 02:15:26.011,14,2000000,1.0,20,2025-07-28 02:15:26.031,1.1429,0.0,84400000.0,0.0
10021526,VNM,1.0,5200.0,3000.0,190200000.0,2025-07-28 02:16:21.034,0.5769,2025-07-28 02:15:26.011,17,1000000,0.5,50,2025-07-28 02:15:26.034,0.5769,0.0,190200000.0,0.0
10021526,SSI,1.0,11100.0,5000.0,174250000.0,2025-07-28 02:16:21.200,0.4505,2025-07-28 02:15:26.011,16,1000000,0.5,50,2025-07-28 02:15:26.200,0.4505,0.0,174250000.0,0.0
10021526,MSN,1.0,5700.0,1000.0,76300000.0,2025-07-28 02:16:21.213,0.1754,2025-07-28 02:15:26.011,15,0,0.05,69,2025-07-28 02:15:26.213,0.1754,0.0,76300000.0,0.0
10021526,POW,1.0,3800.0,500.0,7250000.0,2025-07-28 02:16:21.342,0.1316,2025-07-28 02:15:26.011,14,0,0.05,69,2025-07-28 02:15:26.342,0.1316,0.0,7250000.0,0.0
10021527,VCI,1.0,4400.0,1500.0,66525000.0,2025-07-28 02:16:22.166,0.3409,2025-07-28 02:15:27.166,14,1000000,0.5,50,2025-07-28 02:15:27.166,0.3409,0.0,66525000.0,0.0
10021527,MSN,1.0,5700.0,1000.0,76300000.0,2025-07-28 02:16:22.180,0.1754,2025-07-28 02:15:27.166,15,0,0.05,69,2025-07-28 02:15:27.180,0.1754,0.0,76300000.0,0.0
10021527,VCB,1.0,6900.0,1000.0,62300000.0,2025-07-28 02:16:22.994,0.1449,2025-07-28 02:15:27.166,14,0,0.05,69,2025-07-28 02:15:27.994,0.1449,0.0,62300000.0,0.0
10021528,SAB,-1.0,1100.0,300.0,14805000.0,2025-07-28 02:16:23.198,0.2727,2025-07-28 02:15:28.198,15,26000001,0.05,24,2025-07-28 02:15:28.198,0.0,0.2727,0.0,14805000.0
10021528,VNM,1.0,5200.0,6000.0,380400000.0,2025-07-28 02:16:23.207,1.1538,2025-07-28 02:15:28.207,14,2000000,1.0,20,2025-07-28 02:15:28.207,1.1538,0.0,380400000.0,0.0
10021528,PDR,1.0,3500.0,500.0,10550000.0,2025-07-28 02:16:23.207,0.1429,2025-07-28 02:15:28.207,14,0,0.05,69,2025-07-28 02:15:28.207,0.1429,0.0,10550000.0,0.0
10021528,MSN,1.0,5700.0,1000.0,76300000.0,2025-07-28 02:16:23.232,0.1754,2025-07-28 02:15:28.207,15,0,0.05,69,2025-07-28 02:15:28.232,0.1754,0.0,76300000.0,0.0
10021528,SHB,1.0,9900.0,5000.0,76000000.0,2025-07-28 02:16:23.581,0.5051,2025-07-28 02:15:28.207,15,1000000,0.5,50,2025-07-28 02:15:28.581,0.5051,0.0,76000000.0,0.0
10021529,POW,1.0,3800.0,500.0,7250000.0,2025-07-28 02:16:24.097,0.1316,2025-07-28 02:15:29.068,14,0,0.05,69,2025-07-28 02:15:29.097,0.1316,0.0,7250000.0,0.0
10021529,PDR,1.0,3500.0,2100.0,44310000.0,2025-07-28 02:16:24.817,0.6,2025-07-28 02:15:29.068,16,1000000,0.5,50,2025-07-28 02:15:29.817,0.6,0.0,44310000.0,0.0
10021529,VCI,-1.0,4400.0,300.0,13290000.0,2025-07-28 02:16:24.838,0.0682,2025-07-28 02:15:29.695,14,26000001,0.05,24,2025-07-28 02:15:29.838,0.0,0.0682,0.0,13290000.0
10021530,KDH,1.0,4500.0,800.0,23240000.0,2025-07-28 02:16:25.855,0.1778,2025-07-28 02:15:30.822,14,0,0.05,69,2025-07-28 02:15:30.855,0.1778,0.0,23240000.0,0.0
10021531,VND,-1.0,8800.0,2200.0,48180000.0,2025-07-28 02:16:26.122,0.25,2025-07-28 02:15:31.000,17,26000001,0.05,24,2025-07-28 02:15:31.122,0.0,0.25,0.0,48180000.0
10021531,VIC,1.0,7900.0,4000.0,463720000.0,2025-07-28 02:16:26.544,0.5063,2025-07-28 02:15:31.140,15,1000000,0.5,50,2025-07-28 02:15:31.544,0.5063,0.0,463720000.0,0.0
10021531,SSI,1.0,11100.0,4800.0,167280000.0,2025-07-28 02:16:26.551,0.4324,2025-07-28 02:15:31.140,15,1000000,0.5,50,2025-07-28 02:15:31.551,0.4324,0.0,167280000.0,0.0
10021533,HPG,1.0,21700.0,6000.0,156900000.0,2025-07-28 02:16:28.923,0.2765,2025-07-28 02:15:33.760,15,1000000,0.5,50,2025-07-28 02:15:33.923,0.2765,0.0,156900000.0,0.0
10021534,KBC,1.0,3100.0,1500.0,44250000.0,2025-07-28 02:16:29.757,0.4839,2025-07-28 02:15:34.189,14,1000000,0.5,50,2025-07-28 02:15:34.757,0.4839,0.0,44250000.0,0.0
10021534,POW,1.0,3800.0,2500.0,36250000.0,2025-07-28 02:16:29.801,0.6579,2025-07-28 02:15:34.189,15,1000000,0.5,50,2025-07-28 02:15:34.801,0.6579,0.0,36250000.0,0.0
10021535,PLX,1.0,700.0,200.0,7630000.0,2025-07-28 02:16:30.363,0.2857,2025-07-28 02:15:35.051,15,1000000,0.5,50,2025-07-28 02:15:35.363,0.2857,0.0,7630000.0,0.0
10021536,GEX,-1.0,3700.0,1000.0,56900000.0,2025-07-28 02:16:31.032,0.2703,2025-07-28 02:15:36.032,15,26000001,0.05,24,2025-07-28 02:15:36.032,0.0,0.2703,0.0,56900000.0
10021536,PDR,1.0,3500.0,3000.0,63600000.0,2025-07-28 02:16:31.417,0.8571,2025-07-28 02:15:36.092,14,2000000,1.0,20,2025-07-28 02:15:36.417,0.8571,0.0,63600000.0,0.0
10021537,VJC,1.0,1300.0,1000.0,124700000.0,2025-07-28 02:16:32.061,0.7692,2025-07-28 02:15:37.061,14,2000000,1.0,20,2025-07-28 02:15:37.061,0.7692,0.0,124700000.0,0.0
10021537,VND,-1.0,8800.0,1200.0,26220000.0,2025-07-28 02:16:32.492,0.1364,2025-07-28 02:15:37.259,15,26000001,0.05,24,2025-07-28 02:15:37.492,0.0,0.1364,0.0,26220000.0
10021538,STB,-1.0,4600.0,800.0,39065000.0,2025-07-28 02:16:33.209,0.1739,2025-07-28 02:15:38.019,14,26000001,0.05,24,2025-07-28 02:15:38.209,0.0,0.1739,0.0,39065000.0
10021538,VGC,-1.0,400.0,100.0,5600000.0,2025-07-28 02:16:33.267,0.25,2025-07-28 02:15:38.019,14,26000001,0.05,24,2025-07-28 02:15:38.267,0.0,0.25,0.0,5600000.0
10021538,VCB,1.0,6900.0,4000.0,249200000.0,2025-07-28 02:16:33.298,0.5797,2025-07-28 02:15:38.172,14,1000000,0.5,50,2025-07-28 02:15:38.298,0.5797,0.0,249200000.0,0.0
10021538,POW,1.0,3800.0,1000.0,14500000.0,2025-07-28 02:16:33.324,0.2632,2025-07-28 02:15:38.172,14,0,0.05,69,2025-07-28 02:15:38.324,0.2632,0.0,14500000.0,0.0
10021538,HPG,1.0,21700.0,3600.0,94140000.0,2025-07-28 02:16:33.877,0.1659,2025-07-28 02:15:38.172,16,0,0.05,69,2025-07-28 02:15:38.877,0.1659,0.0,94140000.0,0.0
10021538,VND,1.0,8800.0,5200.0,113880000.0,2025-07-28 02:16:33.893,0.5909,2025-07-28 02:15:38.172,14,1000000,0.5,50,2025-07-28 02:15:38.893,0.5909,0.0,113880000.0,0.0
10021538,KDH,-1.0,4500.0,800.0,23240000.0,2025-07-28 02:16:33.928,0.1778,2025-07-28 02:15:38.019,14,26000001,0.05,24,2025-07-28 02:15:38.928,0.0,0.1778,0.0,23240000.0
10021538,VNM,1.0,5200.0,900.0,57150000.0,2025-07-28 02:16:33.935,0.1731,2025-07-28 02:15:38.172,16,0,0.05,69,2025-07-28 02:15:38.935,0.1731,0.0,57150000.0,0.0
10021539,PDR,1.0,3500.0,3000.0,63600000.0,2025-07-28 02:16:34.166,0.8571,2025-07-28 02:15:39.137,14,2000000,1.0,20,2025-07-28 02:15:39.166,0.8571,0.0,63600000.0,0.0
10021539,VRE,1.0,7300.0,1400.0,41650000.0,2025-07-28 02:16:34.383,0.1918,2025-07-28 02:15:39.137,15,0,0.05,69,2025-07-28 02:15:39.383,0.1918,0.0,41650000.0,0.0
10021540,KDH,1.0,4500.0,900.0,26145000.0,2025-07-28 02:16:35.849,0.2,2025-07-28 02:15:40.004,15,0,0.05,69,2025-07-28 02:15:40.849,0.2,0.0,26145000.0,0.0
10021541,VGC,-1.0,400.0,100.0,5600000.0,2025-07-28 02:16:36.106,0.25,2025-07-28 02:15:41.106,14,26000001,0.05,24,2025-07-28 02:15:41.106,0.0,0.25,0.0,5600000.0
10021542,VGC,-1.0,400.0,100.0,5600000.0,2025-07-28 02:16:37.060,0.25,2025-07-28 02:15:42.060,14,26000001,0.05,24,2025-07-28 02:15:42.060,0.0,0.25,0.0,5600000.0
10021542,STB,1.0,4600.0,1100.0,53845000.0,2025-07-28 02:16:37.453,0.2391,2025-07-28 02:15:42.453,14,0,0.05,69,2025-07-28 02:15:42.453,0.2391,0.0,53845000.0,0.0
10021542,VND,-1.0,8800.0,1300.0,28470000.0,2025-07-28 02:16:37.661,0.1477,2025-07-28 02:15:42.060,15,26000001,0.05,24,2025-07-28 02:15:42.661,0.0,0.1477,0.0,28470000.0
10021543,SSI,-1.0,11100.0,2400.0,83520000.0,2025-07-28 02:16:38.158,0.2162,2025-07-28 02:15:43.158,14,26000001,0.05,24,2025-07-28 02:15:43.158,0.0,0.2162,0.0,83520000.0
10021543,VGC,-1.0,400.0,100.0,5600000.0,2025-07-28 02:16:38.189,0.25,2025-07-28 02:15:43.158,14,26000001,0.05,24,2025-07-28 02:15:43.189,0.0,0.25,0.0,5600000.0
10021543,VHM,1.0,8800.0,5600.0,524720000.0,2025-07-28 02:16:38.452,0.6364,2025-07-28 02:15:43.452,14,1000000,0.5,50,2025-07-28 02:15:43.452,0.6364,0.0,524720000.0,0.0
10021543,VCI,1.0,4400.0,5400.0,239490000.0,2025-07-28 02:16:38.657,1.2273,2025-07-28 02:15:43.452,14,2000000,1.0,20,2025-07-28 02:15:43.657,1.2273,0.0,239490000.0,0.0
10021543,SSI,1.0,11100.0,2500.0,87125000.0,2025-07-28 02:16:38.915,0.2252,2025-07-28 02:15:43.452,15,0,0.05,69,2025-07-28 02:15:43.915,0.2252,0.0,87125000.0,0.0
10021544,VGC,-1.0,400.0,100.0,5600000.0,2025-07-28 02:16:39.513,0.25,2025-07-28 02:15:44.513,14,26000001,0.05,24,2025-07-28 02:15:44.513,0.0,0.25,0.0,5600000.0
10021544,HPG,1.0,21700.0,4400.0,115060000.0,2025-07-28 02:16:39.542,0.2028,2025-07-28 02:15:44.297,16,0,0.05,69,2025-07-28 02:15:44.542,0.2028,0.0,115060000.0,0.0
10021544,VRE,1.0,7300.0,1000.0,29750000.0,2025-07-28 02:16:39.599,0.137,2025-07-28 02:15:44.297,16,0,0.05,69,2025-07-28 02:15:44.599,0.137,0.0,29750000.0,0.0
10021544,STB,1.0,4600.0,800.0,39160000.0,2025-07-28 02:16:39.887,0.1739,2025-07-28 02:15:44.297,17,0,0.05,69,2025-07-28 02:15:44.887,0.1739,0.0,39160000.0,0.0
10021545,KDH,1.0,4500.0,500.0,14525000.0,2025-07-28 02:16:40.099,0.1111,2025-07-28 02:15:45.099,14,0,0.05,69,2025-07-28 02:15:45.099,0.1111,0.0,14525000.0,0.0
10021545,PDR,1.0,3500.0,500.0,10600000.0,2025-07-28 02:16:40.354,0.1429,2025-07-28 02:15:45.099,15,0,0.05,69,2025-07-28 02:15:45.354,0.1429,0.0,10600000.0,0.0
10021545,HPG,1.0,21700.0,2600.0,67990000.0,2025-07-28 02:16:40.620,0.1198,2025-07-28 02:15:45.099,14,0,0.05,69,2025-07-28 02:15:45.620,0.1198,0.0,67990000.0,0.0
10021546,VNM,1.0,5200.0,1000.0,63500000.0,2025-07-28 02:16:41.618,0.1923,2025-07-28 02:15:46.089,15,0,0.05,69,2025-07-28 02:15:46.618,0.1923,0.0,63500000.0,0.0
