time_str,stock,side,quantity,matched_vol,matched_value,ts,num_lot,block_start_time,no_similarity_stock,segment_ids,lot_bucket,segment_length,initial_ts,arbit_ratio,unwind_ratio,arbit_value,unwind_value
10021502,VIC,1.0,9500.0,6400.0,275200000.0,2024-09-20 02:15:57.365,0.6737,2024-09-20 02:15:02.056,15,1000000,0.5,35,2024-09-20 02:15:02.365,0.6737,0.0,275200000.0,0.0
10021506,SHB,1.0,8500.0,5000.0,52000000.0,2024-09-20 02:16:01.541,0.5882,2024-09-20 02:15:06.172,14,1000000,0.5,35,2024-09-20 02:15:06.541,0.5882,0.0,52000000.0,0.0
10021513,GEX,1.0,3300.0,2000.0,41900000.0,2024-09-20 02:16:08.714,0.6061,2024-09-20 02:15:13.503,14,1000000,0.5,35,2024-09-20 02:15:13.714,0.6061,0.0,41900000.0,0.0
10021516,DGC,1.0,1400.0,1000.0,115600000.0,2024-09-20 02:16:11.906,0.7143,2024-09-20 02:15:16.269,16,1000000,0.5,35,2024-09-20 02:15:16.906,0.7143,0.0,115600000.0,0.0
10021523,VHM,1.0,10100.0,2000.0,88500000.0,2024-09-20 02:16:18.197,0.198,2024-09-20 02:15:23.197,14,1,0.05,34,2024-09-20 02:15:23.197,0.198,0.0,88500000.0,0.0
10021523,VRE,1.0,6900.0,5000.0,98250000.0,2024-09-20 02:16:18.400,0.7246,2024-09-20 02:15:23.197,15,1000000,0.5,35,2024-09-20 02:15:23.400,0.7246,0.0,98250000.0,0.0
10021523,KDH,1.0,3100.0,2000.0,76200000.0,2024-09-20 02:16:18.402,0.6452,2024-09-20 02:15:23.197,16,1000000,0.5,35,2024-09-20 02:15:23.402,0.6452,0.0,76200000.0,0.0
10021524,SHB,1.0,8500.0,1100.0,11440000.0,2024-09-20 02:16:19.165,0.1294,2024-09-20 02:15:24.165,16,1,0.05,34,2024-09-20 02:15:24.165,0.1294,0.0,11440000.0,0.0
10021524,SAB,1.0,1100.0,400.0,22720000.0,2024-09-20 02:16:19.166,0.3636,2024-09-20 02:15:24.165,17,1000000,0.5,35,2024-09-20 02:15:24.166,0.3636,0.0,22720000.0,0.0
10021527,PDR,1.0,3400.0,1000.0,22800000.0,2024-09-20 02:16:22.392,0.2941,2024-09-20 02:15:27.147,14,1000000,0.5,35,2024-09-20 02:15:27.392,0.2941,0.0,22800000.0,0.0
10021529,VNM,1.0,5600.0,3100.0,228160000.0,2024-09-20 02:16:24.338,0.5536,2024-09-20 02:15:29.338,18,1000000,0.5,35,2024-09-20 02:15:29.338,0.5536,0.0,228160000.0,0.0
10021529,DGC,1.0,1400.0,200.0,23120000.0,2024-09-20 02:16:24.617,0.1429,2024-09-20 02:15:29.338,15,1,0.05,34,2024-09-20 02:15:29.617,0.1429,0.0,23120000.0,0.0
10021532,VHM,1.0,10100.0,1500.0,66375000.0,2024-09-20 02:16:27.617,0.1485,2024-09-20 02:15:32.617,15,1,0.05,34,2024-09-20 02:15:32.617,0.1485,0.0,66375000.0,0.0
10021532,GEX,1.0,3300.0,1100.0,23100000.0,2024-09-20 02:16:27.852,0.3333,2024-09-20 02:15:32.617,17,1000000,0.5,35,2024-09-20 02:15:32.852,0.3333,0.0,23100000.0,0.0
