time_str,stock,side,quantity,matched_vol,matched_value,ts,num_lot,block_start_time,no_similarity_stock,segment_ids,lot_bucket,segment_length,initial_ts,arbit_ratio,unwind_ratio,arbit_value,unwind_value
10060016,PDR,1.0,3400.0,400.0,8880000.0,2024-09-05 06:01:11.691,0.1176,2024-09-05 06:00:16.691,16,0,0.05,25,2024-09-05 06:00:16.691,0.1176,0.0,8880000.0,0.0
10060016,HPG,1.0,17600.0,1000.0,25250000.0,2024-09-05 06:01:11.735,0.0568,2024-09-05 06:00:16.691,15,0,0.05,25,2024-09-05 06:00:16.735,0.0568,0.0,25250000.0,0.0
10060017,VHM,1.0,10300.0,500.0,21960000.0,2024-09-05 06:01:12.089,0.0485,2024-09-05 06:00:17.089,14,0,0.05,25,2024-09-05 06:00:17.089,0.0485,0.0,21960000.0,0.0
10060017,VNM,1.0,5700.0,600.0,45180000.0,2024-09-05 06:01:12.515,0.1053,2024-09-05 06:00:17.089,17,0,0.05,25,2024-09-05 06:00:17.515,0.1053,0.0,45180000.0,0.0
10060017,VIC,1.0,9600.0,2400.0,108645000.0,2024-09-05 06:01:12.893,0.25,2024-09-05 06:00:17.089,19,0,0.05,25,2024-09-05 06:00:17.893,0.25,0.0,108645000.0,0.0
10060018,DPM,1.0,1500.0,100.0,3515000.0,2024-09-05 06:01:13.085,0.0667,2024-09-05 06:00:18.000,14,0,0.05,25,2024-09-05 06:00:18.085,0.0667,0.0,3515000.0,0.0
10060018,MSN,1.0,5000.0,1100.0,82830000.0,2024-09-05 06:01:13.588,0.22,2024-09-05 06:00:18.000,15,0,0.05,25,2024-09-05 06:00:18.588,0.22,0.0,82830000.0,0.0
10060018,VRE,1.0,7100.0,500.0,10025000.0,2024-09-05 06:01:13.600,0.0704,2024-09-05 06:00:18.000,14,0,0.05,25,2024-09-05 06:00:18.600,0.0704,0.0,10025000.0,0.0
10060018,PDR,1.0,3400.0,300.0,6660000.0,2024-09-05 06:01:13.606,0.0882,2024-09-05 06:00:18.000,16,0,0.05,25,2024-09-05 06:00:18.606,0.0882,0.0,6660000.0,0.0
10060020,KDC,1.0,1100.0,300.0,16590000.0,2024-09-05 06:01:15.434,0.2727,2024-09-05 06:00:20.232,19,0,0.05,25,2024-09-05 06:00:20.434,0.2727,0.0,16590000.0,0.0
