time_str,stock,side,quantity,matched_vol,matched_value,ts,num_lot,block_start_time,no_similarity_stock,segment_ids,lot_bucket,segment_length,initial_ts,arbit_ratio,unwind_ratio,arbit_value,unwind_value
10021601,VNM,1.0,5700.0,700.0,52500000.0,2024-09-10 02:16:56.899,0.1228,2024-09-10 02:16:01.725,17,0,0.05,23,2024-09-10 02:16:01.899,0.1228,0.0,52500000.0,0.0
10021602,VCB,1.0,4500.0,400.0,36040000.0,2024-09-10 02:16:57.573,0.0889,2024-09-10 02:16:02.573,15,0,0.05,23,2024-09-10 02:16:02.573,0.0889,0.0,36040000.0,0.0
10021608,EIB,1.0,4100.0,500.0,9175000.0,2024-09-10 02:17:03.692,0.122,2024-09-10 02:16:08.692,19,0,0.05,23,2024-09-10 02:16:08.692,0.122,0.0,9175000.0,0.0
10021615,VHM,1.0,10200.0,1600.0,69440000.0,2024-09-10 02:17:10.643,0.1569,2024-09-10 02:16:15.643,16,0,0.05,23,2024-09-10 02:16:15.643,0.1569,0.0,69440000.0,0.0
10021620,SSI,1.0,9200.0,1000.0,33200000.0,2024-09-10 02:17:15.761,0.1087,2024-09-10 02:16:20.761,16,0,0.05,23,2024-09-10 02:16:20.761,0.1087,0.0,33200000.0,0.0
10021621,GEX,1.0,3300.0,500.0,10550000.0,2024-09-10 02:17:16.958,0.1515,2024-09-10 02:16:21.558,18,0,0.05,23,2024-09-10 02:16:21.958,0.1515,0.0,10550000.0,0.0
10021623,VND,1.0,8500.0,1000.0,14850000.0,2024-09-10 02:17:18.068,0.1176,2024-09-10 02:16:23.068,17,0,0.05,23,2024-09-10 02:16:23.068,0.1176,0.0,14850000.0,0.0
10021631,VND,1.0,8500.0,1000.0,14850000.0,2024-09-10 02:17:26.070,0.1176,2024-09-10 02:16:31.070,18,0,0.05,23,2024-09-10 02:16:31.070,0.1176,0.0,14850000.0,0.0
10021631,VHM,1.0,10200.0,1000.0,43350000.0,2024-09-10 02:17:26.975,0.098,2024-09-10 02:16:31.070,16,0,0.05,23,2024-09-10 02:16:31.975,0.098,0.0,43350000.0,0.0
10021634,HPG,1.0,17600.0,1500.0,38775000.0,2024-09-10 02:17:29.687,0.0852,2024-09-10 02:16:34.070,15,0,0.05,23,2024-09-10 02:16:34.687,0.0852,0.0,38775000.0,0.0
10021634,SHB,1.0,8600.0,900.0,9360000.0,2024-09-10 02:17:29.689,0.1047,2024-09-10 02:16:34.070,17,0,0.05,23,2024-09-10 02:16:34.689,0.1047,0.0,9360000.0,0.0
10021635,VHM,1.0,10200.0,1500.0,65045000.0,2024-09-10 02:17:30.566,0.1471,2024-09-10 02:16:35.145,15,0,0.05,23,2024-09-10 02:16:35.566,0.1471,0.0,65045000.0,0.0
10021636,VND,1.0,8500.0,1000.0,14850000.0,2024-09-10 02:17:31.791,0.1176,2024-09-10 02:16:36.789,18,0,0.05,23,2024-09-10 02:16:36.791,0.1176,0.0,14850000.0,0.0
10021637,HPG,1.0,17600.0,2000.0,51700000.0,2024-09-10 02:17:32.450,0.1136,2024-09-10 02:16:37.449,17,0,0.05,23,2024-09-10 02:16:37.450,0.1136,0.0,51700000.0,0.0
10021642,VHM,1.0,10200.0,1000.0,43350000.0,2024-09-10 02:17:37.797,0.098,2024-09-10 02:16:42.797,16,0,0.05,23,2024-09-10 02:16:42.797,0.098,0.0,43350000.0,0.0
10021647,DIG,1.0,2300.0,300.0,6780000.0,2024-09-10 02:17:42.527,0.1304,2024-09-10 02:16:47.527,19,0,0.05,23,2024-09-10 02:16:47.527,0.1304,0.0,6780000.0,0.0
10021648,VHM,1.0,10200.0,1000.0,43350000.0,2024-09-10 02:17:43.286,0.098,2024-09-10 02:16:48.285,15,0,0.05,23,2024-09-10 02:16:48.286,0.098,0.0,43350000.0,0.0
10021648,VIC,1.0,9600.0,800.0,35120000.0,2024-09-10 02:17:43.901,0.0833,2024-09-10 02:16:48.285,15,0,0.05,23,2024-09-10 02:16:48.901,0.0833,0.0,35120000.0,0.0
10021650,VCI,1.0,2300.0,300.0,13530000.0,2024-09-10 02:17:45.337,0.1304,2024-09-10 02:16:50.172,18,0,0.05,23,2024-09-10 02:16:50.337,0.1304,0.0,13530000.0,0.0
10021654,VRE,1.0,7100.0,700.0,14140000.0,2024-09-10 02:17:49.376,0.0986,2024-09-10 02:16:54.285,15,0,0.05,23,2024-09-10 02:16:54.376,0.0986,0.0,14140000.0,0.0
10021654,VCB,1.0,4500.0,500.0,45050000.0,2024-09-10 02:17:49.595,0.1111,2024-09-10 02:16:54.285,16,0,0.05,23,2024-09-10 02:16:54.595,0.1111,0.0,45050000.0,0.0
10021654,VIC,1.0,9600.0,800.0,35120000.0,2024-09-10 02:17:49.934,0.0833,2024-09-10 02:16:54.285,16,0,0.05,23,2024-09-10 02:16:54.934,0.0833,0.0,35120000.0,0.0
10021655,VNM,1.0,5700.0,600.0,45060000.0,2024-09-10 02:17:50.913,0.1053,2024-09-10 02:16:55.013,14,0,0.05,23,2024-09-10 02:16:55.913,0.1053,0.0,45060000.0,0.0
10022217,DPM,-1.0,1500.0,100.0,3550000.0,2024-09-10 02:23:12.374,0.0667,2024-09-10 02:22:17.374,17,7,0.05,30,2024-09-10 02:22:17.374,0.0,0.0667,0.0,3550000.0
10022220,MSN,-1.0,5000.0,500.0,37900000.0,2024-09-10 02:23:15.306,0.1,2024-09-10 02:22:20.306,19,7,0.05,30,2024-09-10 02:22:20.306,0.0,0.1,0.0,37900000.0
10022220,DGC,-1.0,1500.0,100.0,11350000.0,2024-09-10 02:23:15.308,0.0667,2024-09-10 02:22:20.306,17,7,0.05,30,2024-09-10 02:22:20.308,0.0,0.0667,0.0,11350000.0
10022220,DPM,-1.0,1500.0,100.0,3550000.0,2024-09-10 02:23:15.445,0.0667,2024-09-10 02:22:20.306,17,7,0.05,30,2024-09-10 02:22:20.445,0.0,0.0667,0.0,3550000.0
