time_str,stock,side,quantity,matched_vol,matched_value,ts,num_lot,block_start_time,no_similarity_stock,segment_ids,lot_bucket,segment_length,initial_ts,arbit_ratio,unwind_ratio,arbit_value,unwind_value
10024512,SSI,-1.0,9200.0,1400.0,45080000.0,2024-09-13 02:46:07.364,0.1522,2024-09-13 02:45:12.360,16,2,0.05,37,2024-09-13 02:45:12.364,0.0,0.1522,0.0,45080000.0
10024515,KDH,-1.0,3100.0,400.0,14860000.0,2024-09-13 02:46:10.772,0.129,2024-09-13 02:45:15.772,15,2,0.05,37,2024-09-13 02:45:15.772,0.0,0.129,0.0,14860000.0
10024518,DIG,-1.0,2300.0,500.0,10825000.0,2024-09-13 02:46:13.306,0.2174,2024-09-13 02:45:18.306,15,2,0.05,37,2024-09-13 02:45:18.306,0.0,0.2174,0.0,10825000.0
10024524,FRT,-1.0,500.0,100.0,17700000.0,2024-09-13 02:46:19.444,0.2,2024-09-13 02:45:24.016,14,2,0.05,37,2024-09-13 02:45:24.444,0.0,0.2,0.0,17700000.0
10024526,MSN,-1.0,5000.0,600.0,45000000.0,2024-09-13 02:46:21.506,0.12,2024-09-13 02:45:26.179,14,2,0.05,37,2024-09-13 02:45:26.506,0.0,0.12,0.0,45000000.0
10024526,PDR,-1.0,3400.0,800.0,16840000.0,2024-09-13 02:46:21.508,0.2353,2024-09-13 02:45:26.179,15,2,0.05,37,2024-09-13 02:45:26.508,0.0,0.2353,0.0,16840000.0
10024535,KDH,-1.0,3100.0,500.0,18575000.0,2024-09-13 02:46:30.895,0.1613,2024-09-13 02:45:35.052,18,2,0.05,37,2024-09-13 02:45:35.895,0.0,0.1613,0.0,18575000.0
10024537,DCM,-1.0,1000.0,200.0,7560000.0,2024-09-13 02:46:32.388,0.2,2024-09-13 02:45:37.388,19,2,0.05,37,2024-09-13 02:45:37.388,0.0,0.2,0.0,7560000.0
10024538,PDR,-1.0,3400.0,500.0,10525000.0,2024-09-13 02:46:33.311,0.1471,2024-09-13 02:45:38.311,14,2,0.05,37,2024-09-13 02:45:38.311,0.0,0.1471,0.0,10525000.0
10024538,SHB,-1.0,8600.0,1400.0,14420000.0,2024-09-13 02:46:33.499,0.1628,2024-09-13 02:45:38.311,17,2,0.05,37,2024-09-13 02:45:38.499,0.0,0.1628,0.0,14420000.0
10024539,POW,-1.0,3700.0,1000.0,12900000.0,2024-09-13 02:46:34.881,0.2703,2024-09-13 02:45:39.200,17,2,0.05,37,2024-09-13 02:45:39.881,0.0,0.2703,0.0,12900000.0
10024541,DIG,-1.0,2300.0,500.0,10825000.0,2024-09-13 02:46:36.110,0.2174,2024-09-13 02:45:41.110,18,2,0.05,37,2024-09-13 02:45:41.110,0.0,0.2174,0.0,10825000.0
10024546,FRT,-1.0,500.0,100.0,17700000.0,2024-09-13 02:46:41.229,0.2,2024-09-13 02:45:46.229,19,2,0.05,37,2024-09-13 02:45:46.229,0.0,0.2,0.0,17700000.0
