time_str,stock,side,quantity,matched_vol,matched_value,ts,num_lot,block_start_time,no_similarity_stock,segment_ids,lot_bucket,segment_length,initial_ts,arbit_ratio,unwind_ratio,arbit_value,unwind_value
10021507,POW,-1.0,3700.0,500.0,6675000.0,2024-09-04 02:16:02.335,0.1351,2024-09-04 02:15:07.335,15,26000000,0.05,103,2024-09-04 02:15:07.335,0.0,0.1351,0.0,6675000.0
10021507,POW,1.0,3700.0,1500.0,20100000.0,2024-09-04 02:16:02.465,0.4054,2024-09-04 02:15:07.328,14,1000000,0.5,36,2024-09-04 02:15:07.465,0.4054,0.0,20100000.0,0.0
10021507,MSN,-1.0,5000.0,1900.0,142880000.0,2024-09-04 02:16:02.631,0.38,2024-09-04 02:15:07.335,18,27000000,0.5,84,2024-09-04 02:15:07.631,0.0,0.38,0.0,142880000.0
10021507,VCG,-1.0,2000.0,400.0,7440000.0,2024-09-04 02:16:02.638,0.2,2024-09-04 02:15:07.335,16,26000000,0.05,103,2024-09-04 02:15:07.638,0.0,0.2,0.0,7440000.0
10021507,VNM,-1.0,5700.0,900.0,65970000.0,2024-09-04 02:16:02.840,0.1579,2024-09-04 02:15:07.335,16,26000000,0.05,103,2024-09-04 02:15:07.840,0.0,0.1579,0.0,65970000.0
10021508,VNM,-1.0,5700.0,1600.0,117280000.0,2024-09-04 02:16:03.573,0.2807,2024-09-04 02:15:08.049,20,27000000,0.5,84,2024-09-04 02:15:08.573,0.0,0.2807,0.0,117280000.0
10021509,GEX,-1.0,3300.0,2000.0,42000000.0,2024-09-04 02:16:04.069,0.6061,2024-09-04 02:15:09.056,19,27000000,0.5,84,2024-09-04 02:15:09.069,0.0,0.6061,0.0,42000000.0
10021509,DGC,-1.0,1500.0,600.0,67860000.0,2024-09-04 02:16:04.085,0.4,2024-09-04 02:15:09.056,18,27000000,0.5,84,2024-09-04 02:15:09.085,0.0,0.4,0.0,67860000.0
10021509,KBC,-1.0,2900.0,700.0,18270000.0,2024-09-04 02:16:04.453,0.2414,2024-09-04 02:15:09.056,19,26000000,0.05,103,2024-09-04 02:15:09.453,0.0,0.2414,0.0,18270000.0
10021509,MSN,-1.0,5000.0,2600.0,195780000.0,2024-09-04 02:16:04.454,0.52,2024-09-04 02:15:09.056,18,27000000,0.5,84,2024-09-04 02:15:09.454,0.0,0.52,0.0,195780000.0
10021509,VCG,-1.0,2000.0,300.0,5565000.0,2024-09-04 02:16:04.465,0.15,2024-09-04 02:15:09.056,15,26000000,0.05,103,2024-09-04 02:15:09.465,0.0,0.15,0.0,5565000.0
10021510,VHM,1.0,10300.0,5000.0,205500000.0,2024-09-04 02:16:05.567,0.4854,2024-09-04 02:15:10.147,14,1000000,0.5,36,2024-09-04 02:15:10.567,0.4854,0.0,205500000.0,0.0
10021510,HPG,-1.0,17600.0,3700.0,93610000.0,2024-09-04 02:16:05.574,0.2102,2024-09-04 02:15:10.146,17,26000000,0.05,103,2024-09-04 02:15:10.574,0.0,0.2102,0.0,93610000.0
10021511,VHM,-1.0,10300.0,6500.0,266500000.0,2024-09-04 02:16:06.778,0.6311,2024-09-04 02:15:11.165,19,27000000,0.5,84,2024-09-04 02:15:11.778,0.0,0.6311,0.0,266500000.0
10021513,PLX,-1.0,1000.0,200.0,9640000.0,2024-09-04 02:16:08.059,0.2,2024-09-04 02:15:13.059,19,26000000,0.05,103,2024-09-04 02:15:13.059,0.0,0.2,0.0,9640000.0
10021513,STB,-1.0,4400.0,1500.0,45600000.0,2024-09-04 02:16:08.067,0.3409,2024-09-04 02:15:13.059,17,27000000,0.5,84,2024-09-04 02:15:13.067,0.0,0.3409,0.0,45600000.0
10021513,VNM,-1.0,5700.0,2400.0,175920000.0,2024-09-04 02:16:08.069,0.4211,2024-09-04 02:15:13.059,17,27000000,0.5,84,2024-09-04 02:15:13.069,0.0,0.4211,0.0,175920000.0
10021513,VCB,-1.0,4500.0,3300.0,300630000.0,2024-09-04 02:16:08.302,0.7333,2024-09-04 02:15:13.059,21,27000000,0.5,84,2024-09-04 02:15:13.302,0.0,0.7333,0.0,300630000.0
10021513,VIC,-1.0,9600.0,3400.0,148250000.0,2024-09-04 02:16:08.594,0.3542,2024-09-04 02:15:13.059,17,27000000,0.5,84,2024-09-04 02:15:13.594,0.0,0.3542,0.0,148250000.0
10021513,PDR,1.0,3400.0,2000.0,42500000.0,2024-09-04 02:16:08.778,0.5882,2024-09-04 02:15:13.778,15,1000000,0.5,36,2024-09-04 02:15:13.778,0.5882,0.0,42500000.0,0.0
10021513,SAB,-1.0,1100.0,600.0,34320000.0,2024-09-04 02:16:08.780,0.5455,2024-09-04 02:15:13.059,19,27000000,0.5,84,2024-09-04 02:15:13.780,0.0,0.5455,0.0,34320000.0
10021514,HPG,-1.0,17600.0,2700.0,68310000.0,2024-09-04 02:16:09.012,0.1534,2024-09-04 02:15:14.012,16,26000000,0.05,103,2024-09-04 02:15:14.012,0.0,0.1534,0.0,68310000.0
10021514,VHM,-1.0,10300.0,7000.0,287000000.0,2024-09-04 02:16:09.328,0.6796,2024-09-04 02:15:14.012,19,27000000,0.5,84,2024-09-04 02:15:14.328,0.0,0.6796,0.0,287000000.0
10021514,DIG,-1.0,2300.0,800.0,18160000.0,2024-09-04 02:16:09.557,0.3478,2024-09-04 02:15:14.012,17,27000000,0.5,84,2024-09-04 02:15:14.557,0.0,0.3478,0.0,18160000.0
