time_str,stock,side,quantity,matched_vol,matched_value,ts,num_lot,block_start_time,no_similarity_stock,segment_ids,lot_bucket,segment_length,initial_ts,arbit_ratio,unwind_ratio,arbit_value,unwind_value
10022710,VCI,-1.0,2300.0,500.0,22500000.0,2024-09-06 02:28:05.244,0.2174,2024-09-06 02:27:10.244,19,1,0.05,29,2024-09-06 02:27:10.244,0.0,0.2174,0.0,22500000.0
10022712,PLX,-1.0,1000.0,200.0,9220000.0,2024-09-06 02:28:07.356,0.2,2024-09-06 02:27:12.356,19,1,0.05,29,2024-09-06 02:27:12.356,0.0,0.2,0.0,9220000.0
10022713,VNM,-1.0,5700.0,1500.0,112500000.0,2024-09-06 02:28:08.383,0.2632,2024-09-06 02:27:13.383,17,1,0.05,29,2024-09-06 02:27:13.383,0.0,0.2632,0.0,112500000.0
10022715,VND,-1.0,8500.0,1400.0,21350000.0,2024-09-06 02:28:10.318,0.1647,2024-09-06 02:27:15.318,18,1,0.05,29,2024-09-06 02:27:15.318,0.0,0.1647,0.0,21350000.0
10022722,PDR,-1.0,3400.0,600.0,12930000.0,2024-09-06 02:28:17.832,0.1765,2024-09-06 02:27:22.517,20,1,0.05,29,2024-09-06 02:27:22.832,0.0,0.1765,0.0,12930000.0
10022724,STB,-1.0,4400.0,1000.0,29600000.0,2024-09-06 02:28:19.620,0.2273,2024-09-06 02:27:24.620,18,1,0.05,29,2024-09-06 02:27:24.620,0.0,0.2273,0.0,29600000.0
10022724,VGC,-1.0,400.0,100.0,4260000.0,2024-09-06 02:28:19.737,0.25,2024-09-06 02:27:24.620,17,1,0.05,29,2024-09-06 02:27:24.737,0.0,0.25,0.0,4260000.0
10022731,STB,-1.0,4400.0,600.0,17760000.0,2024-09-06 02:28:26.212,0.1364,2024-09-06 02:27:31.007,16,1,0.05,29,2024-09-06 02:27:31.212,0.0,0.1364,0.0,17760000.0
10022731,DGC,-1.0,1500.0,200.0,22520000.0,2024-09-06 02:28:26.567,0.1333,2024-09-06 02:27:31.007,14,1,0.05,29,2024-09-06 02:27:31.567,0.0,0.1333,0.0,22520000.0
10022731,VCI,-1.0,2300.0,300.0,13500000.0,2024-09-06 02:28:26.952,0.1304,2024-09-06 02:27:31.007,15,1,0.05,29,2024-09-06 02:27:31.952,0.0,0.1304,0.0,13500000.0
10022732,DIG,-1.0,2300.0,500.0,11375000.0,2024-09-06 02:28:27.657,0.2174,2024-09-06 02:27:32.172,17,1,0.05,29,2024-09-06 02:27:32.657,0.0,0.2174,0.0,11375000.0
10022733,POW,-1.0,3700.0,1000.0,13000000.0,2024-09-06 02:28:28.433,0.2703,2024-09-06 02:27:33.162,14,1,0.05,29,2024-09-06 02:27:33.433,0.0,0.2703,0.0,13000000.0
10022733,MSN,-1.0,5000.0,1200.0,88920000.0,2024-09-06 02:28:28.908,0.24,2024-09-06 02:27:33.162,17,1,0.05,29,2024-09-06 02:27:33.908,0.0,0.24,0.0,88920000.0
10022735,VND,-1.0,8500.0,1200.0,18300000.0,2024-09-06 02:28:30.447,0.1412,2024-09-06 02:27:35.447,14,1,0.05,29,2024-09-06 02:27:35.447,0.0,0.1412,0.0,18300000.0
10022737,VCI,-1.0,2300.0,500.0,22500000.0,2024-09-06 02:28:32.102,0.2174,2024-09-06 02:27:37.102,15,1,0.05,29,2024-09-06 02:27:37.102,0.0,0.2174,0.0,22500000.0
10022740,VCG,-1.0,2000.0,500.0,9525000.0,2024-09-06 02:28:35.464,0.25,2024-09-06 02:27:40.154,16,1,0.05,29,2024-09-06 02:27:40.464,0.0,0.25,0.0,9525000.0
10022742,GEX,-1.0,3300.0,600.0,12660000.0,2024-09-06 02:28:37.685,0.1818,2024-09-06 02:27:42.275,19,1,0.05,29,2024-09-06 02:27:42.685,0.0,0.1818,0.0,12660000.0
10022743,SAB,-1.0,1100.0,200.0,11360000.0,2024-09-06 02:28:38.275,0.1818,2024-09-06 02:27:43.275,18,1,0.05,29,2024-09-06 02:27:43.275,0.0,0.1818,0.0,11360000.0
10022743,VCG,-1.0,2000.0,400.0,7620000.0,2024-09-06 02:28:38.832,0.2,2024-09-06 02:27:43.275,16,1,0.05,29,2024-09-06 02:27:43.832,0.0,0.2,0.0,7620000.0
10022746,VCI,-1.0,2300.0,500.0,22500000.0,2024-09-06 02:28:41.096,0.2174,2024-09-06 02:27:46.093,14,1,0.05,29,2024-09-06 02:27:46.096,0.0,0.2174,0.0,22500000.0
10022749,VCI,-1.0,2300.0,500.0,22500000.0,2024-09-06 02:28:44.124,0.2174,2024-09-06 02:27:49.124,14,1,0.05,29,2024-09-06 02:27:49.124,0.0,0.2174,0.0,22500000.0
10022751,DCM,-1.0,1000.0,200.0,7290000.0,2024-09-06 02:28:46.454,0.2,2024-09-06 02:27:51.454,15,1,0.05,29,2024-09-06 02:27:51.454,0.0,0.2,0.0,7290000.0
10022754,VHM,-1.0,10200.0,2000.0,87600000.0,2024-09-06 02:28:49.613,0.1961,2024-09-06 02:27:54.084,15,1,0.05,29,2024-09-06 02:27:54.613,0.0,0.1961,0.0,87600000.0
10022756,KBC,-1.0,2900.0,500.0,12950000.0,2024-09-06 02:28:51.609,0.1724,2024-09-06 02:27:56.070,16,1,0.05,29,2024-09-06 02:27:56.609,0.0,0.1724,0.0,12950000.0
10022756,VHM,-1.0,10200.0,1600.0,70080000.0,2024-09-06 02:28:51.632,0.1569,2024-09-06 02:27:56.070,15,1,0.05,29,2024-09-06 02:27:56.632,0.0,0.1569,0.0,70080000.0
10022756,FRT,-1.0,500.0,100.0,18090000.0,2024-09-06 02:28:51.634,0.2,2024-09-06 02:27:56.070,15,1,0.05,29,2024-09-06 02:27:56.634,0.0,0.2,0.0,18090000.0
10022806,FRT,-1.0,500.0,100.0,18110000.0,2024-09-06 02:29:01.044,0.2,2024-09-06 02:28:06.044,15,1,0.05,29,2024-09-06 02:28:06.044,0.0,0.2,0.0,18110000.0
10022807,BVH,-1.0,600.0,100.0,4510000.0,2024-09-06 02:29:02.100,0.1667,2024-09-06 02:28:07.100,14,1,0.05,29,2024-09-06 02:28:07.100,0.0,0.1667,0.0,4510000.0
