time_str,stock,side,quantity,matched_vol,matched_value,ts,num_lot,block_start_time,no_similarity_stock,segment_ids,lot_bucket,segment_length,initial_ts,arbit_ratio,unwind_ratio,arbit_value,unwind_value
10025420,MSN,-1.0,4900.0,3300.0,245850000.0,2024-09-19 02:55:15.379,0.6735,2024-09-19 02:54:20.376,15,27000001,0.5,22,2024-09-19 02:54:20.379,0.0,0.6735,0.0,245850000.0
10025420,SSI,-1.0,9100.0,5400.0,182520000.0,2024-09-19 02:55:15.380,0.5934,2024-09-19 02:54:20.376,14,27000001,0.5,22,2024-09-19 02:54:20.380,0.0,0.5934,0.0,182520000.0
10025420,SAB,-1.0,1100.0,600.0,33840000.0,2024-09-19 02:55:15.589,0.5455,2024-09-19 02:54:20.376,14,27000001,0.5,22,2024-09-19 02:54:20.589,0.0,0.5455,0.0,33840000.0
10025423,VCI,-1.0,3000.0,2000.0,69300000.0,2024-09-19 02:55:18.446,0.6667,2024-09-19 02:54:23.446,16,27000001,0.5,22,2024-09-19 02:54:23.446,0.0,0.6667,0.0,69300000.0
10025430,PDR,-1.0,3400.0,2000.0,44400000.0,2024-09-19 02:55:25.174,0.5882,2024-09-19 02:54:30.174,16,27000001,0.5,22,2024-09-19 02:54:30.174,0.0,0.5882,0.0,44400000.0
10025432,VNM,-1.0,5600.0,4200.0,307440000.0,2024-09-19 02:55:27.906,0.75,2024-09-19 02:54:32.706,17,27000001,0.5,22,2024-09-19 02:54:32.906,0.0,0.75,0.0,307440000.0
10025432,VRE,-1.0,6900.0,4000.0,77400000.0,2024-09-19 02:55:27.918,0.5797,2024-09-19 02:54:32.706,16,27000001,0.5,22,2024-09-19 02:54:32.918,0.0,0.5797,0.0,77400000.0
10025432,MSN,-1.0,4900.0,3300.0,245850000.0,2024-09-19 02:55:27.931,0.6735,2024-09-19 02:54:32.706,18,27000001,0.5,22,2024-09-19 02:54:32.931,0.0,0.6735,0.0,245850000.0
10025433,SAB,-1.0,1100.0,600.0,33840000.0,2024-09-19 02:55:28.337,0.5455,2024-09-19 02:54:33.335,15,27000001,0.5,22,2024-09-19 02:54:33.337,0.0,0.5455,0.0,33840000.0
10025440,VND,-1.0,8300.0,5000.0,73750000.0,2024-09-19 02:55:35.270,0.6024,2024-09-19 02:54:40.270,18,27000001,0.5,22,2024-09-19 02:54:40.270,0.0,0.6024,0.0,73750000.0
10025444,KBC,-1.0,2900.0,2000.0,51300000.0,2024-09-19 02:55:39.787,0.6897,2024-09-19 02:54:44.357,19,27000001,0.5,22,2024-09-19 02:54:44.787,0.0,0.6897,0.0,51300000.0
10025447,VIC,-1.0,9500.0,5000.0,214250000.0,2024-09-19 02:55:42.752,0.5263,2024-09-19 02:54:47.365,15,27000001,0.5,22,2024-09-19 02:54:47.752,0.0,0.5263,0.0,214250000.0
10025448,KBC,-1.0,2900.0,2000.0,51300000.0,2024-09-19 02:55:43.520,0.6897,2024-09-19 02:54:48.301,20,27000001,0.5,22,2024-09-19 02:54:48.520,0.0,0.6897,0.0,51300000.0
10025452,MSN,-1.0,4900.0,3300.0,245850000.0,2024-09-19 02:55:47.316,0.6735,2024-09-19 02:54:52.057,18,27000001,0.5,22,2024-09-19 02:54:52.316,0.0,0.6735,0.0,245850000.0
